id,name,type,ordered,laid_down,commissioned,launched,fate,fate_type,fate_survivors,fate_lat,fat_lon,fate_dead,shipyard,ships_sunk
1,U-1,IIA,02/02/35,02/11/35,6/29/1935,6/15/1935,04/06/40,Sunk,0,54.14,5.07,24,"Deutsche Werke AG, Kiel",0
2,U-2,IIA,02/02/35,02/11/35,7/25/1935,07/01/35,04/08/44,Sunk,18,54.48,19.55,17,"Deutsche Werke AG, Kiel",0
3,U-3,IIA,02/02/35,02/11/35,08/06/35,7/19/1935,08/01/44,Decommissioned,0,,,0,"Deutsche Werke AG, Kiel",2
4,U-4,IIA,02/02/35,02/11/35,8/17/1935,7/31/1935,7/31/1944,Decommissioned,0,,,0,"Deutsche Werke AG, Kiel",3
5,U-5,IIA,02/02/35,02/11/35,8/31/1935,8/14/1935,3/19/1943,Sunk,16,54.4,19.45,21,"Deutsche Werke AG, Kiel",0
6,U-6,IIA,02/02/35,02/11/35,09/07/35,8/21/1935,08/07/44,Decommissioned,0,,,0,"Deutsche Werke AG, Kiel",0
7,U-7,IIB,7/20/1934,03/11/35,7/18/1935,6/29/1935,2/18/1944,Sunk,0,54.52,19.29,29,"F. Krupp Germaniawerft AG, Kiel",1
8,U-8,IIB,7/20/1934,3/25/1935,08/05/35,7/16/1935,3/31/1945,Decommissioned,0,,,0,"F. Krupp Germaniawerft AG, Kiel",0
9,U-9,IIB,7/20/1934,04/08/35,8/21/1935,7/30/1935,8/20/1944,Sunk,0,44.1,28.41,0,"F. Krupp Germaniawerft AG, Kiel",7
10,U-10,IIB,7/20/1934,4/22/1935,09/09/35,8/13/1935,08/01/44,Decommissioned,0,,,0,"F. Krupp Germaniawerft AG, Kiel",2
11,U-11,IIB,7/20/1934,05/06/35,9/21/1935,8/27/1935,01/05/45,Decommissioned,0,,,0,"F. Krupp Germaniawerft AG, Kiel",0
12,U-12,IIB,7/20/1934,5/20/1935,9/30/1935,09/11/35,10/08/39,Sunk,0,51.1,1.3,27,"F. Krupp Germaniawerft AG, Kiel",0
13,U-13,IIB,02/02/35,6/20/1935,11/30/1935,11/09/35,5/31/1940,Sunk,26,52.26,2.02,0,"Deutsche Werke AG, Kiel",9
14,U-14,IIB,02/02/35,07/06/35,1/18/1936,12/28/1935,03/03/45,Decommissioned,0,,,0,"Deutsche Werke AG, Kiel",9
15,U-15,IIB,02/02/35,9/24/1935,03/07/36,2/15/1936,1/30/1940,Sunk,0,54.24,7.5,25,"Deutsche Werke AG, Kiel",3
